Open,Close,High,Low,Volume,VWAP,Timestamp,Transactions,OTC
108308.2,108398.99,108423.84,108170,17.05104224,108379.3237,2025-05-24T00:00:00,446,
108390.84,108230,108425.11,108170,3.9480613499999975,108387.5011,2025-05-24T00:01:00,343,
108412.33,108337.66,108429.97,108150,5.892446540000011,108380.847,2025-05-24T00:02:00,285,
108412.3,108170,108412.3,108160,1.3347622200000004,108319.9351,2025-05-24T00:03:00,246,
108352.58,108343.55,108412.3,108140,2.41609612,108321.6653,2025-05-24T00:04:00,161,
108170,108377.8,108412.3,108100,3.438948440000002,108280.3505,2025-05-24T00:05:00,298,
108331.66,108368.11,108377.8,108130,2.9947970999999995,108331.9875,2025-05-24T00:06:00,237,
108368.11,108369.48,108419.01,108140,1.6411603599999987,108296.6133,2025-05-24T00:07:00,204,
108369.48,108399.32,108430.66,108180,2.4470045700000003,108401.245,2025-05-24T00:08:00,302,
108230,108412.2,108434.21,108220,2.22679491,108389.141,2025-05-24T00:09:00,269,
108418.94,108395.21,108434.63,108230,1.44858861,108387.2627,2025-05-24T00:10:00,209,
108395.22,108356.84,108410.5,108100,4.201923189999998,108312.7285,2025-05-24T00:11:00,284,
108160,108359.9,108376.8,108100,0.99708693,108188.2076,2025-05-24T00:12:00,187,
108340.35,108325.46,108360,108110,1.2236988199999999,108293.5485,2025-05-24T00:13:00,204,
108325.47,108170,108379.85,108110,1.99192411,108264.9399,2025-05-24T00:14:00,244,
108373.44,108372.08,108388.36,108160,2.1024217099999993,108324.1904,2025-05-24T00:15:00,239,
108372.09,108420.79,108420.79,108170,1.1434723800000013,108333.4067,2025-05-24T00:16:00,201,
108424.24,108441.94,108466.62,108200,4.741875170000002,108428.8636,2025-05-24T00:17:00,369,
108441.94,108438.3,108466.92,108230,4.066027179999999,108429.8539,2025-05-24T00:18:00,297,
108438.4,108484.29,108516.85,108270,5.948325590000001,108481.7449,2025-05-24T00:19:00,348,
108485.78,108449,108497.85,108270,2.436761379999998,108417.4301,2025-05-24T00:20:00,229,
108449,108456.6,108480.38,108280,1.9927470600000006,108394.7314,2025-05-24T00:21:00,150,
108466.53,108495.48,108504.87,108290,3.6236716199999988,108377.7972,2025-05-24T00:22:00,240,
108497.56,108460,108518.58,108290,2.64012769,108476.8021,2025-05-24T00:23:00,222,
