Open,Close,High,Low,Volume,VWAP,Timestamp,Transactions,OTC
105754.9,105827.12,105850.24,105700,15.123115869999998,105810.054,2025-05-20T00:00:00,343,
105827.12,105776.64,105827.12,105700,2.831910910000005,105795.0483,2025-05-20T00:01:00,230,
105776.64,105706.68,105778.4,105590,3.8818176699999967,105728.1422,2025-05-20T00:02:00,330,
105706.68,105673.95,105742.2,105590,1.76450185,105671.1774,2025-05-20T00:03:00,232,
105673.94,105639.38,105721.6,105580,2.185877359999999,105648.4438,2025-05-20T00:04:00,257,
105642.8,105634.06,105655.43,105520,2.06535104,105612.241,2025-05-20T00:05:00,240,
105625.02,105616.33,105642.9,105520,2.1044972499999997,105586.2199,2025-05-20T00:06:00,200,
105616.33,105606.26,105654.27,105510,2.3331484399999995,105617.2574,2025-05-20T00:07:00,284,
105606.23,105599.71,105617.71,105500,2.022018150000002,105582.0432,2025-05-20T00:08:00,197,
105599.7,105594.7,105631.3,105510,1.6417616899999996,105589.9275,2025-05-20T00:09:00,199,
105615.39,105634,105634,105510,1.443755839999999,105586.1765,2025-05-20T00:10:00,219,
105640.71,105600,105649,105530,1.7812839400000013,105606.5545,2025-05-20T00:11:00,275,
105600.01,105500,105615.8,105490,2.6243431300000006,105584.5452,2025-05-20T00:12:00,215,
105591.38,105575.28,105625.02,105490,2.7042746399999995,105577.1422,2025-05-20T00:13:00,239,
105575.28,105530,105626.88,105480,2.92940949,105571.9505,2025-05-20T00:14:00,202,
105626.88,105605.32,105626.88,105500,2.853212440000001,105594.8013,2025-05-20T00:15:00,210,
105605.32,105686.48,105696.07,105510,1.2965575700000005,105639.2287,2025-05-20T00:16:00,266,
105686.47,105692.78,105692.79,105580,1.6533325,105668.6031,2025-05-20T00:17:00,156,
105692.79,105600.08,105692.79,105580,2.207543790000001,105635.8588,2025-05-20T00:18:00,267,
105600.09,105643.09,105647.3,105510,2.144768210000002,105592.6324,2025-05-20T00:19:00,228,
105643.08,105600,105704.07,105520,3.8433238499999973,105623.1159,2025-05-20T00:20:00,239,
105703.47,105647.3,105737.52,105600,1.4787875100000007,105696.9658,2025-05-20T00:21:00,209,
105725.59,105654.6,105729.39,105610,1.781268749999999,105667.2723,2025-05-20T00:22:00,204,
105654.59,105604.1,105654.6,105540,6.554154349999996,105607.621,2025-05-20T00:23:00,294,
105604.47,105645.28,105668.39,105540,3.433571439999998,105640.2422,2025-05-20T00:24:00,271,
