Open,Close,High,Low,Volume,VWAP,Timestamp,Transactions,OTC
111108.8,111137.96,111137.96,111000,2.868224120000001,111085.4653,2025-05-23T00:00:00,243,
111086.6,111159.74,111159.74,111040,1.5524269100000005,111122.1799,2025-05-23T00:01:00,254,
111160.55,111166.83,111175.33,111040,2.2134248499999973,111115.5547,2025-05-23T00:02:00,241,
111101.4,111166.86,111189,111070,1.7178540999999987,111162.7031,2025-05-23T00:03:00,198,
111166.86,111173.33,111173.33,111070,0.7019547500000004,111137.3516,2025-05-23T00:04:00,132,
111173.33,111187.44,111189,111070,5.3190623899999965,111157.4735,2025-05-23T00:05:00,261,
111183.97,111172.69,111194.47,111080,18.824804520000004,111151.9723,2025-05-23T00:06:00,284,
111172.69,111100.1,111172.69,111030,1.2092395400000004,111120.0397,2025-05-23T00:07:00,219,
111084.01,111024.32,111100.1,111000,1.936932329999999,111032.7582,2025-05-23T00:08:00,216,
111024.32,111047.02,111052.8,111000,4.491350810000003,111034.8451,2025-05-23T00:09:00,161,
111047.02,111061.44,111066.87,110940,1.4914647099999996,111022.6508,2025-05-23T00:10:00,185,
111061.45,111011,111061.45,110950,2.706336370000001,111041.9451,2025-05-23T00:11:00,238,
111011.01,111031.18,111039.32,110900,3.3658127200000014,111002.4809,2025-05-23T00:12:00,229,
111031.18,111033.12,111055.55,110920,1.4976154300000002,111005.1204,2025-05-23T00:13:00,186,
111033.12,111033.38,111034.46,110920,1.7371948599999996,111007.5946,2025-05-23T00:14:00,213,
111033.38,110970.88,111060.34,110850,6.801134759999997,110989.5409,2025-05-23T00:15:00,343,
110970.88,110922.24,111000.2,110860,5.6993696000000025,110951.4304,2025-05-23T00:16:00,315,
110922.23,110968.24,111000.1,110860,5.865457850000003,110952.5332,2025-05-23T00:17:00,281,
110968.25,110896.4,110968.25,110850,7.503099979999998,110906.1191,2025-05-23T00:18:00,297,
110908.61,110938.69,110938.81,110810,3.3794364699999977,110901.999,2025-05-23T00:19:00,267,
110938.7,110922,110938.7,110830,20.10156467,110895.7124,2025-05-23T00:20:00,188,
110922,110910.07,110933.93,110830,33.37347448999999,110889.3709,2025-05-23T00:21:00,234,
110909.96,110898.96,110919.14,110810,12.191823909999968,110908.9617,2025-05-23T00:22:00,341,
110898.96,110881.36,110903.77,110780,2.192109129999998,110870.8726,2025-05-23T00:23:00,219,
110881.37,110776.04,110881.37,110650,45.86336679999997,110789.0813,2025-05-23T00:24:00,651,
110670,110725.38,110782.95,110660,15.00997586,110732.0233,2025-05-23T00:25:00,544,
110728.24,110779.85,110782.08,110650,2.558052979999997,110739.9752,2025-05-23T00:26:00,254,
110780.72,110759.88,110785,110690,2.5408005600000014,110751.1989,2025-05-23T00:27:00,173,
110759.88,110816.82,110816.85,110670,3.6338030399999983,110780.3423,2025-05-23T00:28:00,256,
110816.82,110816.75,110858.88,110710,4.0324027500000055,110810.5552,2025-05-23T00:29:00,271,
110749.9,110811.76,110850.36,110740,0.7072489700000002,110821.3306,2025-05-23T00:30:00,183,
110811.76,110756.31,110811.76,110670,2.7617913499999998,110772.3471,2025-05-23T00:31:00,216,
110756.28,110719.7,110780.1,110630,5.539765509999998,110703.3755,2025-05-23T00:32:00,432,
110716.76,110655.71,110720.92,110530,9.340662219999999,110656.9943,2025-05-23T00:33:00,456,
110655.7,110794.51,110794.51,110560,4.205626209999996,110683.4602,2025-05-23T00:34:00,342,
110794.51,110694.37,110794.51,110600,2.307853510000001,110714.3739,2025-05-23T00:35:00,248,
110694.37,110600.01,110732.3,110490,6.322203730000002,110630.99,2025-05-23T00:36:00,267,
110603.5,110556.63,110609.5,110450,8.991042900000007,110574.2925,2025-05-23T00:37:00,463,
110556.64,110603.8,110650.53,110460,6.183501520000001,110581.0311,2025-05-23T00:38:00,320,
110620.44,110520,110642.63,110520,2.634922669999999,110603.4653,2025-05-23T00:39:00,219,
110639.27,110588.36,110639.27,110490,1.370899180000001,110589.9541,2025-05-23T00:40:00,190,
110591.28,110596.87,110610.01,110554.21,5.438101259999998,110586.4698,2025-05-23T00:41:00,214,
110598.13,110622.15,110634.99,110490,1.7339854199999998,110577.961,2025-05-23T00:42:00,198,
