           Open      Close       High        Low      Volume         VWAP           Timestamp  Transactions  OTC  hour  minute  dayofweek  Close_lag_1  Volume_lag_1   VWAP_lag_1  Close_lag_2  Volume_lag_2   VWAP_lag_2  Close_lag_3  Volume_lag_3   VWAP_lag_3  Close_lag_4  Volume_lag_4   VWAP_lag_4  Close_lag_5  Volume_lag_5   VWAP_lag_5
13    111456.87  111374.50  111462.61  111358.60    3.168650  111423.4230 2025-05-22 00:13:00           459  NaN     0      13          3    111471.95     17.460209  111395.2558    111448.87      8.014012  111424.5367    111501.34      9.700484  111540.2833    111533.54      4.985404  111504.3556    111490.59     10.864125  111452.9868
14    111422.87  111416.79  111449.99  111340.00    6.053352  111409.4678 2025-05-22 00:14:00           512  NaN     0      14          3    111374.50      3.168650  111423.4230    111471.95     17.460209  111395.2558    111448.87      8.014012  111424.5367    111501.34      9.700484  111540.2833    111533.54      4.985404  111504.3556
15    111421.16  111350.01  111478.83  111340.00    8.546462  111409.1805 2025-05-22 00:15:00           707  NaN     0      15          3    111416.79      6.053352  111409.4678    111374.50      3.168650  111423.4230    111471.95     17.460209  111395.2558    111448.87      8.014012  111424.5367    111501.34      9.700484  111540.2833
16    111350.01  111319.15  111370.10  111280.00   11.117052  111335.1553 2025-05-22 00:16:00           620  NaN     0      16          3    111350.01      8.546462  111409.1805    111416.79      6.053352  111409.4678    111374.50      3.168650  111423.4230    111471.95     17.460209  111395.2558    111448.87      8.014012  111424.5367
17    111319.48  111323.70  111328.34  111231.20    9.950019  111295.1612 2025-05-22 00:17:00           756  NaN     0      17          3    111319.15     11.117052  111335.1553    111350.01      8.546462  111409.1805    111416.79      6.053352  111409.4678    111374.50      3.168650  111423.4230    111471.95     17.460209  111395.2558
18    111324.84  111301.96  111343.03  111289.90    8.421613  111318.7318 2025-05-22 00:18:00           630  NaN     0      18          3    111323.70      9.950019  111295.1612    111319.15     11.117052  111335.1553    111350.01      8.546462  111409.1805    111416.79      6.053352  111409.4678    111374.50      3.168650  111423.4230
19    111304.95  111432.98  111435.48  111253.22    5.738162  111301.6750 2025-05-22 00:19:00           541  NaN     0      19          3    111301.96      8.421613  111318.7318    111323.70      9.950019  111295.1612    111319.15     11.117052  111335.1553    111350.01      8.546462  111409.1805    111416.79      6.053352  111409.4678
20    111432.98  111451.14  111518.72  111339.70    7.168542  111439.0940 2025-05-22 00:20:00           668  NaN     0      20          3    111432.98      5.738162  111301.6750    111301.96      8.421613  111318.7318    111323.70      9.950019  111295.1612    111319.15     11.117052  111335.1553    111350.01      8.546462  111409.1805
21    111449.79  111326.27  111449.79  111263.22   12.672747  111328.0108 2025-05-22 00:21:00           640  NaN     0      21          3    111451.14      7.168542  111439.0940    111432.98      5.738162  111301.6750    111301.96      8.421613  111318.7318    111323.70      9.950019  111295.1612    111319.15     11.117052  111335.1553
22    111326.28  111406.65  111448.77  111301.00    4.221599  111394.9051 2025-05-22 00:22:00           563  NaN     0      22          3    111326.27     12.672747  111328.0108    111451.14      7.168542  111439.0940    111432.98      5.738162  111301.6750    111301.96      8.421613  111318.7318    111323.70      9.950019  111295.1612
23    111399.28  111328.08  111407.27  111307.00    5.232017  111347.9751 2025-05-22 00:23:00           522  NaN     0      23          3    111406.65      4.221599  111394.9051    111326.27     12.672747  111328.0108    111451.14      7.168542  111439.0940    111432.98      5.738162  111301.6750    111301.96      8.421613  111318.7318
24    111328.08  111274.65  111356.63  111250.00   25.166684  111315.3601 2025-05-22 00:24:00           499  NaN     0      24          3    111328.08      5.232017  111347.9751    111406.65      4.221599  111394.9051    111326.27     12.672747  111328.0108    111451.14      7.168542  111439.0940    111432.98      5.738162  111301.6750
25    111274.66  111326.39  111342.80  111274.66    6.931884  111313.9491 2025-05-22 00:25:00           416  NaN     0      25          3    111274.65     25.166684  111315.3601    111328.08      5.232017  111347.9751    111406.65      4.221599  111394.9051    111326.27     12.672747  111328.0108    111451.14      7.168542  111439.0940
26    111326.40  111315.09  111339.34  111304.20    4.059399  111322.6502 2025-05-22 00:26:00           483  NaN     0      26          3    111326.39      6.931884  111313.9491    111274.65     25.166684  111315.3601    111328.08      5.232017  111347.9751    111406.65      4.221599  111394.9051    111326.27     12.672747  111328.0108
27    111318.39  111282.25  111318.43  111229.80   42.621320  111252.6705 2025-05-22 00:27:00           604  NaN     0      27          3    111315.09      4.059399  111322.6502    111326.39      6.931884  111313.9491    111274.65     25.166684  111315.3601    111328.08      5.232017  111347.9751    111406.65      4.221599  111394.9051
